highway,km,buraco,remendo,trinca,placa,drenagem
262,0.0,0,198,594,44,462
262,1.0,0,165,550,0,407
262,2.0,0,132,539,11,385
262,3.0,0,220,539,33,396
262,4.0,0,220,528,33,374
262,5.0,0,88,550,66,363
262,6.0,0,187,539,55,286
262,7.0,0,143,528,11,352
262,8.0,0,363,517,22,385
262,9.0,0,198,550,33,385
262,10.0,0,243,344,57,238
262,11.0,0,60,300,0,186
262,12.0,0,198,294,24,216
262,13.0,0,210,294,30,210
262,14.0,0,144,294,36,180
262,15.0,0,210,566,140,376
262,16.0,0,154,700,98,336
262,17.0,0,182,686,28,308
262,18.0,0,434,686,140,280
262,19.0,0,448,672,182,350
262,20.0,0,672,686,28,364
262,21.0,0,420,686,168,504
262,22.0,0,98,686,112,392
262,23.0,0,280,672,28,224
262,24.0,0,224,672,0,518
262,25.0,0,406,672,0,420
262,26.0,0,1106,686,42,476
262,27.0,0,854,700,168,350
262,28.0,0,840,672,210,322
262,29.0,0,222,300,36,174
262,30.0,0,102,288,36,90
262,31.0,0,666,282,48,30
262,32.0,0,72,294,36,186
262,33.0,0,426,294,84,108
262,34.0,0,2777,812,312,505
