highway,km,buraco,remendo,trinca,placa,drenagem
116,562.0,0,12,76,16,44
116,563.0,0,87,848,344,514
116,564.0,0,459,1296,135,783
116,565.0,0,567,1323,270,1026
116,566.0,0,324,1269,243,405
116,567.0,0,351,1323,54,783
116,568.0,0,675,1323,162,513
116,569.0,0,810,1323,54,567
116,570.0,0,567,1323,81,351
116,571.0,0,108,1323,162,810
116,572.0,0,108,1296,378,756
116,573.0,0,702,1350,189,540
116,574.0,0,945,1323,243,999
116,575.0,0,567,1323,27,756
116,576.0,0,432,1323,243,810
116,577.0,0,243,1296,432,945
116,578.0,0,243,1323,243,756
116,579.0,0,108,1323,135,702
116,580.0,0,216,1323,54,729
116,581.0,0,459,1350,162,702
116,582.0,0,999,1323,594,648
116,583.0,0,1026,1350,324,756
116,584.0,0,1971,1323,81,891
116,585.0,0,1134,1296,405,999
116,586.0,0,540,1296,405,486
116,587.0,0,486,1323,540,729
116,588.0,0,1296,1323,108,513
116,589.0,0,1080,1269,216,756
116,590.0,0,241,1128,288,174
116,591.0,0,480,960,180,440
116,592.0,0,1200,940,120,240
116,593.0,0,600,960,140,660
116,594.0,0,140,960,100,300
116,595.0,0,660,940,140,280
116,596.0,0,340,960,500,560
116,597.0,0,200,940,320,380
116,598.0,0,580,940,300,660
116,599.0,0,800,940,40,720
116,600.0,0,1940,960,0,720
116,601.0,0,2840,940,20,740
116,602.0,0,1340,940,60,700
116,603.0,0,2020,940,80,580
116,604.0,0,2040,960,40,720
116,605.0,0,3060,940,0,740
116,606.0,0,1220,960,0,480
116,607.0,0,620,980,60,560
116,608.0,0,1000,960,120,460
116,609.0,0,98,158,29,109
146,455.0,0,0,12,0,0
146,456.0,0,37,1739,37,999
146,457.0,0,37,1776,0,740
146,458.0,0,0,1739,185,518
146,459.0,0,37,1813,111,703
146,460.0,0,37,1813,74,851
146,461.0,0,185,1739,111,296
146,462.0,0,962,1813,37,222
146,463.0,0,37,1813,74,481
146,464.0,0,148,1813,333,444
146,465.0,0,185,1813,185,222
146,466.0,0,37,1813,111,370
146,467.0,0,296,1739,111,814
146,468.0,0,74,1813,0,518
146,469.0,0,185,1776,185,518
146,470.0,0,148,1776,74,185
146,471.0,0,333,1850,148,296
146,472.0,0,185,1776,185,629
146,473.0,0,185,1850,148,296
146,474.0,0,0,1776,0,555
146,475.0,0,37,1813,37,111
146,476.0,0,37,1813,74,814
146,477.0,0,37,1813,74,444
146,478.0,0,37,1813,37,407
146,479.0,0,0,1850,0,444
146,480.0,0,0,1850,37,703
146,481.0,0,37,1813,74,629
146,482.0,0,37,1813,74,1110
146,483.0,0,0,1739,37,962
146,484.0,0,222,1813,37,1110
146,485.0,0,148,1850,37,481
146,486.0,0,111,1813,37,592
146,487.0,0,111,1850,37,703
146,488.0,0,0,1813,296,1073
146,489.0,0,0,1850,37,740
146,490.0,0,111,1813,37,925
146,491.0,0,111,1850,259,629
146,492.0,0,16,768,16,240
146,493.0,0,32,768,16,80
146,494.0,0,48,768,80,128
146,495.0,0,0,736,16,464
146,496.0,0,32,752,32,352
146,497.0,0,16,752,144,304
146,498.0,0,0,784,128,480
146,499.0,0,0,752,96,416
146,500.0,0,0,768,48,336
146,501.0,0,16,752,16,464
146,502.0,0,96,768,80,432
146,503.0,0,64,784,144,288
146,504.0,0,64,720,176,368
146,505.0,0,208,784,224,576
146,506.0,0,80,768,144,480
146,507.0,0,143,637,52,442
146,508.0,0,130,637,26,286
146,509.0,0,91,624,78,390
146,510.0,0,52,637,208,312
146,511.0,0,104,624,130,429
146,512.0,0,0,65,39,26
262,0.0,0,198,594,44,462
262,1.0,0,165,550,0,407
262,2.0,0,132,539,11,385
262,3.0,0,220,539,33,396
262,4.0,0,220,528,33,374
262,5.0,0,88,550,66,363
262,6.0,0,187,539,55,286
262,7.0,0,143,528,11,352
262,8.0,0,363,517,22,385
262,9.0,0,198,550,33,385
262,10.0,0,243,344,57,238
262,11.0,0,60,300,0,186
262,12.0,0,198,294,24,216
262,13.0,0,210,294,30,210
262,14.0,0,144,294,36,180
262,15.0,0,210,566,140,376
262,16.0,0,154,700,98,336
262,17.0,0,182,686,28,308
262,18.0,0,434,686,140,280
262,19.0,0,448,672,182,350
262,20.0,0,672,686,28,364
